area_code,reference_area,area_type,year,business_demography,measure_type,value,units
S12000039,West Dunbartonshire,Local Authority,2016,De-Registrations,Count,235,De-Registrations
S12000028,South Ayrshire,Local Authority,2016,De-Registrations,Count,350,De-Registrations
S12000029,South Lanarkshire,Local Authority,2016,De-Registrations,Count,985,De-Registrations
S12000049,Glasgow City,Local Authority,2017,De-Registrations,Count,2935,De-Registrations
S12000049,Glasgow City,Local Authority,2017,Registrations,Count,3105,Registrations
S12000040,West Lothian,Local Authority,2016,De-Registrations,Count,525,De-Registrations
S12000023,Orkney Islands,Local Authority,2016,De-Registrations,Count,65,De-Registrations
S12000048,Perth and Kinross,Local Authority,2016,De-Registrations,Count,460,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2016,De-Registrations,Count,75,De-Registrations
S12000021,North Ayrshire,Local Authority,2016,De-Registrations,Count,355,De-Registrations
S12000026,Scottish Borders,Local Authority,2016,De-Registrations,Count,340,De-Registrations
S12000027,Shetland Islands,Local Authority,2016,De-Registrations,Count,65,De-Registrations
S12000038,Renfrewshire,Local Authority,2016,De-Registrations,Count,575,De-Registrations
S12000018,Inverclyde,Local Authority,2015,De-Registrations,Count,205,De-Registrations
S12000019,Midlothian,Local Authority,2015,De-Registrations,Count,235,De-Registrations
S12000047,Fife,Local Authority,2015,De-Registrations,Count,985,De-Registrations
S12000017,Highland,Local Authority,2015,De-Registrations,Count,865,De-Registrations
S12000013,Na h-Eileanan Siar,Local Authority,2015,De-Registrations,Count,100,De-Registrations
