area_code,reference_area,area_type,reference_period,indicator,value,units
S12000036,City of Edinburgh,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),140.8,ktonnes
S12000035,Argyll and Bute,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),25.9,ktonnes
S12000035,Argyll and Bute,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),33.1,ktonnes
S12000035,Argyll and Bute,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),26.2,ktonnes
S12000035,Argyll and Bute,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),21.2,ktonnes
S12000035,Argyll and Bute,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),20.6,ktonnes
S12000035,Argyll and Bute,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),32.8,ktonnes
S12000042,Dundee City,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),9.9,ktonnes
S12000042,Dundee City,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),6.4,ktonnes
S12000042,Dundee City,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),16.8,ktonnes
S12000042,Dundee City,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),10.1,ktonnes
S12000042,Dundee City,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),9.1,ktonnes
S12000042,Dundee City,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),3.5,ktonnes
S12000035,Argyll and Bute,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),740,Kg Per Capita
S12000035,Argyll and Bute,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),673,Kg Per Capita
S12000035,Argyll and Bute,Local Authority,2005/2006,Waste Arisings (Tonnes),67259,Tonnes
S12000035,Argyll and Bute,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),660,Kg Per Capita
S12000035,Argyll and Bute,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),639,Kg Per Capita
S12000035,Argyll and Bute,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),681,Kg Per Capita
S12000035,Argyll and Bute,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),629,Kg Per Capita
S12000035,Argyll and Bute,Local Authority,2004/2005,Waste Arisings (Tonnes),62240,Tonnes
S12000035,Argyll and Bute,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),24.5,ktonnes
S12000035,Argyll and Bute,Local Authority,2006/2007,Waste Arisings (Tonnes),61505,Tonnes
S12000035,Argyll and Bute,Local Authority,2007/2008,Waste Arisings (Tonnes),62309,Tonnes
S12000035,Argyll and Bute,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),618,Kg Per Capita
S12000038,Renfrewshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),577,Kg Per Capita
S12000038,Renfrewshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),548,Kg Per Capita
S12000038,Renfrewshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),33,ktonnes
S12000038,Renfrewshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),37.2,ktonnes
S12000038,Renfrewshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),593,Kg Per Capita
S12000038,Renfrewshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),530,Kg Per Capita
S12000038,Renfrewshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),604,Kg Per Capita
S12000041,Angus,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),16.8,ktonnes
